waste_processor_id,authority,authority_id,period,period_id,waste_stream_type_id,waste_stream_type,facility_type_id,facility_type,national_facility_id,facility_name,facility_postCode,total_tonnes,tonnes_by_material,material_group,material_id,material
6311973,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",35327,"DS Smith Paper Ltd","ME10 2TD",95.88,95.88,"Paper & Card",8,Card
6311974,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",17,"Reuse (qu35)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",751.76,599.8,"Rubble",21,Rubble
6311974,"Luton Borough Council",1,"Apr 24 - Jun 24",397,1,"Source segregated recyclate",17,"Reuse (qu35)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",751.76,151.96,"Soil",57,Soil
6311975,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",8,"Materials recovery facility",36724,"F C C Recycling ( U K ) Limited","LU4 8AU",2896.26,0,"",0,
6311975,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",2,"Non-hazardous landfill",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",442.24,0,"",0,
6311975,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",27649,"U P M - Kymmene ( U K) Ltd","CH5 2LL",1197.56,1197.56,"Paper & Card",7,Paper
6311975,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",35327,"DS Smith Paper Ltd","ME10 2TD",642.95,642.95,"Paper & Card",8,Card
6311975,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",121.77,121.77,"Metal",11,"Steel cans"
6311975,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",31125,"Novelis UK Ltd","WA4 1NN",94.19,94.19,"Metal",12,"Aluminium cans"
6311975,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,49.08,49.08,"Textiles",15,"Textiles & footwear"
6311975,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,348.48,348.48,"Plastic",34,"Mixed Plastic Bottles"
6311976,"Luton Borough Council",1,"Apr 24 - Jun 24",397,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,34.68,34.68,"Plastic",34,"Mixed Plastic Bottles"
6311977,"Luton Borough Council",1,"Apr 24 - Jun 24",397,3,"Food waste",11,"Anaerobic or Aerobic Digestion Segregated",34530,"Agrivert Ltd","EN6 3NA",0,0,"",0,
6311978,"Luton Borough Council",1,"Apr 24 - Jun 24",397,3,"Food waste",11,"Anaerobic or Aerobic Digestion Segregated",40715,"Biogen (UK) Limited ","SG7 6QX",0,0,"",0,
6311979,"Luton Borough Council",1,"Apr 24 - Jun 24",397,4,"Green waste",13,"Windrow or other composting",20275,"Material Change Limited","MK45 4RF",2816.52,2816.52,"Organic",42,"Green garden waste only"
6311980,"Luton Borough Council",1,"Apr 24 - Jun 24",397,5,"Residual waste",2,"Non-hazardous landfill",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",8237.24,0,"",0,
6311981,"Luton Borough Council",1,"Apr 24 - Jun 24",397,5,"Residual waste",3,"Hazardous landfill",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",23.36,0,"",0,
6311982,"Luton Borough Council",1,"Apr 24 - Jun 24",397,5,"Residual waste",4,"Incineration with energy recovery",21567,"Grundon Waste Management Ltd","SL3 0EG",9.76,0,"",0,
6311983,"Luton Borough Council",1,"Apr 24 - Jun 24",397,5,"Residual waste",4,"Incineration with energy recovery",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",8582.5,0,"",0,
6265064,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",3232,"U R M ( U K ) Limited ","WF9 3NR",576.18,576.18,"Glass",6,"Mixed glass"
6265065,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,19.06,19.06,"Tyres",53,"Car tyres"
6265066,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0,0,"",0,
6265067,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0.17,0.17,"Metal",63,"Gas bottles"
6265068,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0.75,0.75,"Oil",30,"Vegetable Oil"
6265069,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,"RM18 7HB",747.25,747.25,"Wood",19,Wood
6265069,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",6,"RDF, autoclave, MHT or similar",7932,Other/Exempt,"RM18 7HB",186.81,186.81,"Wood",19,Wood
6265070,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,45.7,34.79,"Textiles",15,"Textiles & footwear"
6265070,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,45.7,10.91,"Other Materials",60,Bric-a-brac
6265071,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,3,3,"Oil",31,"Mineral Oil"
6265072,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",34.42,34.42,"Plasterboard",58,Plasterboard
6265073,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23159,"G&P Batteries Ltd","G40 2PZ",3.39,3.39,"Batteries",28,"Automotive batteries"
6265074,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",169.5,169.5,"Metal",11,"Steel cans"
6265075,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23931,"Environcom England Ltd","NG31 7UH",26.42,26.42,"WEEE",48,"WEEE - Large Domestic App"
6265076,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",31125,"Novelis UK Ltd","WA4 1NN",1.3,1.3,"Metal",12,"Aluminium cans"
6265077,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",35327,"DS Smith Paper Ltd","ME10 2TD",87.5,87.5,"Paper & Card",8,Card
6265078,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",17,"Reuse (qu35)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",711.86,598.4,"Rubble",21,Rubble
6265078,"Luton Borough Council",1,"Jul 24 - Sep 24",401,1,"Source segregated recyclate",17,"Reuse (qu35)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",711.86,113.46,"Soil",57,Soil
6265079,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",8,"Materials recovery facility",36724,"F C C Recycling ( U K ) Limited","LU4 8AU",2646.2,0,"",0,
6265079,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",2,"Non-hazardous landfill",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",474.89,0,"",0,
6265079,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",27649,"U P M - Kymmene ( U K) Ltd","CH5 2LL",1059.6,1059.6,"Paper & Card",7,Paper
6265079,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",35327,"DS Smith Paper Ltd","ME10 2TD",568.88,568.88,"Paper & Card",8,Card
6265079,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",123.76,123.76,"Metal",11,"Steel cans"
6265079,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",31125,"Novelis UK Ltd","WA4 1NN",67.32,67.32,"Metal",12,"Aluminium cans"
6265079,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,43.43,43.43,"Textiles",15,"Textiles & footwear"
6265079,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,308.33,308.33,"Plastic",34,"Mixed Plastic Bottles"
6265080,"Luton Borough Council",1,"Jul 24 - Sep 24",401,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,34.5,34.5,"Plastic",34,"Mixed Plastic Bottles"
6265081,"Luton Borough Council",1,"Jul 24 - Sep 24",401,3,"Food waste",11,"Anaerobic or Aerobic Digestion Segregated",34530,"Agrivert Ltd","EN6 3NA",0,0,"",0,
6265082,"Luton Borough Council",1,"Jul 24 - Sep 24",401,3,"Food waste",11,"Anaerobic or Aerobic Digestion Segregated",40715,"Biogen (UK) Limited ","SG7 6QX",0,0,"",0,
6265083,"Luton Borough Council",1,"Jul 24 - Sep 24",401,4,"Green waste",13,"Windrow or other composting",20275,"Material Change Limited","MK45 4RF",2366.62,2366.62,"Organic",42,"Green garden waste only"
6265084,"Luton Borough Council",1,"Jul 24 - Sep 24",401,5,"Residual waste",2,"Non-hazardous landfill",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",6979.04,0,"",0,
6265085,"Luton Borough Council",1,"Jul 24 - Sep 24",401,5,"Residual waste",3,"Hazardous landfill",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",25.37,0,"",0,
6265086,"Luton Borough Council",1,"Jul 24 - Sep 24",401,5,"Residual waste",4,"Incineration with energy recovery",21567,"Grundon Waste Management Ltd","SL3 0EG",8.84,0,"",0,
6265087,"Luton Borough Council",1,"Jul 24 - Sep 24",401,5,"Residual waste",4,"Incineration with energy recovery",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",8487.08,0,"",0,
6265088,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",3232,"U R M ( U K ) Limited ","WF9 3NR",308.82,308.82,"Glass",6,"Mixed glass"
6265089,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0,0,"",0,
6265090,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,39.26,39.26,"Textiles",77,Carpets
6265091,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,174.04,170.04,"Glass",6,"Mixed glass"
6265091,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,174.04,4,"Metal",63,"Gas bottles"
6265092,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,1,1,"Oil",30,"Vegetable Oil"
6265093,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,"RM18 7HB",412.98,412.98,"Wood",19,Wood
6265093,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",6,"RDF, autoclave, MHT or similar",7932,Other/Exempt,"RM18 7HB",103.26,103.26,"Wood",19,Wood
6265094,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,24,22.76,"Textiles",15,"Textiles & footwear"
6265094,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,24,1.24,"Other Materials",60,Bric-a-brac
6265095,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,2.1,2.1,"Oil",31,"Mineral Oil"
6265096,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",0,0,"",0,
6265097,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23159,"G&P Batteries Ltd","G40 2PZ",3.74,3.74,"Batteries",28,"Automotive batteries"
6265098,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",86.88,86.88,"Metal",11,"Steel cans"
6265099,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23931,"Environcom England Ltd","NG31 7UH",111.93,111.93,"WEEE",48,"WEEE - Large Domestic App"
6265100,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",31125,"Novelis UK Ltd","WA4 1NN",0,0,"",0,
6265101,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",35327,"DS Smith Paper Ltd","ME10 2TD",43,43,"Paper & Card",8,Card
6265102,"Luton Borough Council",1,"Oct 24 - Dec 24",405,1,"Source segregated recyclate",17,"Reuse (qu35)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",0,0,"",0,
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",8,"Materials recovery facility",41307,"Suez Recycling & Recovery UK Ltd.","B8 1AE",2908.3,0,"",0,
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",2,"Non-hazardous landfill",21767,"Kent Enviropower Ltd","ME16 0LE",0,0,"",0,
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",4,"Incineration with energy recovery",21767,"Kent Enviropower Ltd","ME16 0LE",688.28,0,"",0,
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",4,"Incineration with energy recovery",21767,"Kent Enviropower Ltd","ME16 0LE",276.5,0,"",0,
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0,0,"",0,
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",27649,"U P M - Kymmene ( U K) Ltd","CH5 2LL",987.76,987.76,"Paper & Card",7,Paper
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",52.09,17.9,"Paper & Card",8,Card
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",35327,"DS Smith Paper Ltd","ME10 2TD",536.24,536.24,"Paper & Card",8,Card
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",52.09,17.31,"Metal",11,"Steel cans"
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",52.09,16.88,"Metal",12,"Aluminium cans"
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",31125,"Novelis UK Ltd","WA4 1NN",48.07,48.07,"Metal",12,"Aluminium cans"
6265103,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,310.58,310.58,"Plastic",34,"Mixed Plastic Bottles"
6265104,"Luton Borough Council",1,"Oct 24 - Dec 24",405,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,23.2,23.2,"Plastic",34,"Mixed Plastic Bottles"
6265105,"Luton Borough Council",1,"Oct 24 - Dec 24",405,3,"Food waste",11,"Anaerobic or Aerobic Digestion Segregated",34530,"Agrivert Ltd","EN6 3NA",0,0,"",0,
6265106,"Luton Borough Council",1,"Oct 24 - Dec 24",405,3,"Food waste",11,"Anaerobic or Aerobic Digestion Segregated",40715,"Biogen (UK) Limited ","SG7 6QX",0,0,"",0,
6265107,"Luton Borough Council",1,"Oct 24 - Dec 24",405,4,"Green waste",13,"Windrow or other composting",20275,"Material Change Limited","MK45 4RF",1085.44,1085.44,"Organic",42,"Green garden waste only"
6265108,"Luton Borough Council",1,"Oct 24 - Dec 24",405,5,"Residual waste",2,"Non-hazardous landfill",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",0,0,"",0,
6265109,"Luton Borough Council",1,"Oct 24 - Dec 24",405,5,"Residual waste",3,"Hazardous landfill",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",22.22,0,"",0,
6265110,"Luton Borough Council",1,"Oct 24 - Dec 24",405,5,"Residual waste",4,"Incineration with energy recovery",21567,"Grundon Waste Management Ltd","SL3 0EG",95.16,0,"",0,
6265111,"Luton Borough Council",1,"Oct 24 - Dec 24",405,5,"Residual waste",4,"Incineration with energy recovery",35169,"FCC Waste Service (UK) Ltd","MK3 5JU",15014.6,0,"",0,
6265112,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",3232,"U R M ( U K ) Limited ","WF9 3NR",519,519,"Glass",6,"Mixed glass"
6265113,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0,0,"",0,
6265114,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,42.5,42.5,"Textiles",77,Carpets
6265115,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,1,1,"Metal",63,"Gas bottles"
6265116,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,0,0,"",0,
6265117,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,"RM18 7HB",544.42,544.42,"Wood",19,Wood
6265117,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",6,"RDF, autoclave, MHT or similar",7932,Other/Exempt,"RM18 7HB",484.31,484.31,"Wood",19,Wood
6265118,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,45.04,44.74,"Textiles",15,"Textiles & footwear"
6265118,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,45.04,0.3,"Other Materials",60,Bric-a-brac
6265119,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,1,1,"Oil",31,"Mineral Oil"
6265120,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",5.66,5.66,"Plasterboard",58,Plasterboard
6265121,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23159,"G&P Batteries Ltd","G40 2PZ",3.77,3.77,"Batteries",28,"Automotive batteries"
6265122,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",97.3,97.3,"Metal",11,"Steel cans"
6265123,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",23931,"Environcom England Ltd","NG31 7UH",49.82,49.82,"WEEE",48,"WEEE - Large Domestic App"
6265124,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",31125,"Novelis UK Ltd","WA4 1NN",0,0,"",0,
6265125,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",16,"Reprocessor - recycling (qu19)",35327,"DS Smith Paper Ltd","ME10 2TD",44.36,44.36,"Paper & Card",8,Card
6265126,"Luton Borough Council",1,"Jan 25 - Mar 25",409,1,"Source segregated recyclate",17,"Reuse (qu35)",14262,"Three Shires Waste Recycling Ltd","LU4 9DZ",41.7,41.7,"Rubble",21,Rubble
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",8,"Materials recovery facility",41307,"Suez Recycling & Recovery UK Ltd.","B8 1AE",2814.8,0,"",0,
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",2,"Non-hazardous landfill",21767,"Kent Enviropower Ltd","ME16 0LE",0,0,"",0,
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",4,"Incineration with energy recovery",21767,"Kent Enviropower Ltd","ME16 0LE",598.52,0,"",0,
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",27649,"U P M - Kymmene ( U K) Ltd","CH5 2LL",1081.55,1081.55,"Paper & Card",7,Paper
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",35327,"DS Smith Paper Ltd","ME10 2TD",580.67,580.67,"Paper & Card",8,Card
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",23581,"Morris & Co Handlers Ltd","DN11 0PS",126.33,126.33,"Metal",11,"Steel cans"
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",31125,"Novelis UK Ltd","WA4 1NN",68.71,68.71,"Metal",12,"Aluminium cans"
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,44.33,44.33,"Textiles",15,"Textiles & footwear"
6265127,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,314.71,314.71,"Plastic",34,"Mixed Plastic Bottles"
6265128,"Luton Borough Council",1,"Jan 25 - Mar 25",409,2,"Comingled recyclate",16,"Reprocessor - recycling (qu19)",7932,Other/Exempt,,23.42,23.42,"Plastic",34,"Mixed Plastic Bottles"
